timestamp,CO2,DO,PM2dot5,Temp,Humidity
1726686909,754,42,47,31,49
1726686969,328,96,43,26,66
1726687029,493,54,13,31,44
1726687089,933,14,120,22,69
1726687149,540,62,27,31,40
1726687209,494,7,25,29,48
1726687269,567,32,62,34,53
1726687329,753,62,55,38,51
1726687389,804,67,69,26,58
1726687449,320,71,45,23,37
1726687509,911,7,1,38,36
1726687569,326,91,128,23,47
1726687629,539,21,93,29,39
1726687689,375,8,85,34,49
1726687749,547,56,15,21,60
1726687809,847,6,4,28,67
1726687869,604,95,75,34,65
1726687929,573,33,24,29,41
1726687989,337,83,115,27,37
1726688049,976,74,3,37,37
1726688109,520,65,30,40,52
1726688169,530,39,146,33,52
1726688229,960,95,109,38,37
1726688289,619,98,73,23,44
1726688349,629,30,116,35,41
1726688409,947,97,7,29,41
1726688469,759,9,127,21,47
1726688529,536,0,71,20,39
1726688589,563,85,3,28,61
1726688649,389,26,94,30,44
1726688709,713,32,9,29,69
1726688769,449,77,51,20,63
1726688829,581,13,79,31,44
1726688889,923,94,137,22,39
1726688949,470,40,18,29,59
1726689009,895,18,139,33,66
1726689069,932,25,44,22,46
1726689129,591,63,44,27,60
1726689189,867,80,51,33,41
1726689249,670,88,91,23,37
1726689309,750,97,59,21,67
1726689369,694,68,124,29,50
1726689429,545,24,57,28,43
1726689489,464,40,60,33,33
1726689549,363,96,26,40,39
1726689609,302,33,51,27,59
1726689669,412,52,80,23,64
1726689729,548,9,91,31,47
1726689789,913,35,65,26,55
1726689849,387,14,92,36,52
1726689909,680,34,42,21,55
1726689969,788,87,146,33,69
1726690029,373,24,49,37,46
1726690089,770,25,43,23,67
1726690149,303,100,135,30,54
1726690209,472,21,140,23,32
1726690269,583,50,82,39,65
1726690329,475,9,32,30,61
1726690389,542,1,73,35,67
1726690449,535,18,129,35,47
1726690509,797,36,59,33,52
1726690569,674,64,30,39,62
1726690629,493,98,43,37,48
1726690689,389,29,123,29,34
1726690749,886,92,38,25,47
1726690809,304,5,90,35,66
1726690869,935,98,121,22,70
1726690929,876,86,101,34,64
1726690989,438,30,22,20,67
1726691049,664,29,31,24,35
1726691109,555,95,146,22,56
1726691169,308,11,91,37,31
1726691229,345,69,90,38,39
1726691289,658,53,129,28,69
1726691349,899,90,103,37,41
1726691409,847,47,4,27,67
1726691469,628,48,129,24,66
1726691529,798,18,9,35,36
1726691589,793,21,93,31,30
1726691649,738,86,134,40,39
1726691709,510,94,58,35,32
1726691769,538,62,35,27,69
1726691829,927,55,48,26,48
1726691889,485,13,127,25,44
1726691949,475,3,37,33,53
1726692009,621,79,60,29,59
1726692069,443,31,67,34,70
1726692129,580,13,57,27,34
1726692189,337,57,118,31,57
1726692249,559,37,48,34,45
1726692309,971,57,101,29,70
1726692369,960,90,70,26,48
1726692429,749,41,103,27,69
1726692489,561,83,3,35,45
1726692549,917,53,150,27,63
1726692609,537,65,63,22,40
1726692669,686,55,126,28,47
1726692729,637,88,58,37,47
1726692789,440,66,64,39,31
1726692849,492,12,63,27,64
1726692909,427,18,81,25,60
1726692969,600,43,46,25,53
1726693029,583,49,94,27,61
1726693089,664,87,149,26,38
1726693149,610,66,80,32,60
1726693209,581,93,72,39,39
1726693269,752,98,38,36,67
1726693329,480,96,100,38,31
1726693389,965,71,94,30,65
1726693449,394,48,93,34,42
1726693509,622,57,81,32,53
1726693569,698,100,82,27,37
1726693629,550,98,56,26,54
1726693689,675,69,139,23,54
1726693749,323,68,142,33,64
1726693809,674,26,104,39,33
1726693869,648,85,44,38,36
1726693929,384,70,38,23,50
1726693989,499,72,134,35,58
1726694049,686,62,28,35,58
1726694109,390,83,43,34,55
1726694169,413,66,22,30,62
1726694229,596,75,40,20,44
